,"Greece, EURIBOR, 12 Month, Fixing","Bahrain, BHIBOR, 1 Year, Fixing, Ask","Germany, EURIBOR, 12 Month, Fixing","United States, LIBOR, 12 Month, Fixing","United Kingdom, LIBOR, 12 Month, Fixing","Japan, LIBOR, 12 Month, Fixing","France, EURIBOR, 12 Month, Fixing","Singapore, 12 Month","Spain, LIBOR, 12 Month, Fixing","Switzerland, LIBOR, 12 Month, Fixing","Italy, LIBOR, 12 Month, Fixing","Belgium, EURIBOR, 12 Month, Fixing","Netherlands, EURIBOR, 12 Month, Fixing","Finland, EURIBOR, 12 Month, Fixing","Hong Kong, HIBOR, 12 Month, Fixing","Czech Republic, PRIBOR, 12 Month, Fixing","Portugal, EURIBOR, 12 Month, Fixing","Romania, ROBOR, 12 Month, Fixing","Denmark, CIBOR, 12 Month, Fixing"
01/07/1992,,3.75,9.80875,3.8125,10.4375,3.90625,10.4375,3.25,13.6875,8.5,15.3594,9.82188,9.7,14.2,4.13,12.69,,,
01/08/1992,,3.75,9.89375,3.75,10.875,3.70313,10.7148,3.13,14.0156,7.82813,15.7969,10,9.81,15.06,4,14,,,
01/09/1992,,3.75,8.963,3.375,8.51563,3.8125,11.2812,2.69,15.625,6.8125,15.75,8.99375,8.77,14.45,4,15.63,,,
01/10/1992,,3.75,8.10167,3.875,6.72656,3.75,9.0078,2.75,13.5313,6.0625,13.5781,8.21875,8.01,12.08,4.13,14.94,,,
01/11/1992,,3.75,8.06167,4.3125,6.875,3.75,9.2968,3,14.4531,6.01563,13.8438,7.88125,7.82,11.07,4.88,15.13,,,
01/12/1992,,3.75,7.89667,4.0625,6.86719,3.75,9.9375,3,14.3125,5.5625,13.25,7.49375,7.46,10.27,4.88,15,,,
01/01/1993,,3.75,7.60467,3.6875,6.0625,3.39063,10.0234,2.94,13.5156,5.1875,11.9688,7.5,7.45,10.4,4.63,15.19,,,
01/02/1993,,3.75,7.38167,3.625,5.8125,3.25,9.8984,2.81,13.7188,4.9375,11.3125,7.77656,7.13,8.77,4.13,15.69,,,
01/03/1993,,3.75,6.885,3.625,5.89844,3.4375,8.5234,2.63,13.0313,4.625,11.7344,7.35188,6.69,8.61,3.94,20.5,,,
01/04/1993,,3.75,6.89617,3.5,6.375,3.375,7.5,3.13,13.0938,4.59375,11.2188,7.1875,6.63,8.06,3.81,17.63,,,
01/05/1993,,3.75,6.85133,3.875,6.09375,3.5,6.9766,3.19,10.5938,4.8125,10.625,6.56094,6.34,7.79,3.75,16.75,,,
01/06/1993,,3.75,6.79,3.75,6,3.3125,6.3125,3.13,10.0469,4.60938,9.48438,6.3125,6.14,7.25,4.25,15.69,,,
01/07/1993,,3.75,6.41458,3.75,5.6875,3.1875,7.3594,3.19,10.25,4.5,9.0625,7.25,6.02,7.25,4.13,14.25,,,
01/08/1993,,3.75,6.06583,3.5625,5.6875,2.75,6.2734,3.13,9.51563,4.4375,8.48438,7.625,5.87,6.22,4.13,14.23,,,
01/09/1993,,3.75,6.0525,3.5625,5.8125,2.5625,6.3203,3.13,9.4375,4.3125,8.5,8,5.8,6.58,4,13.8,10.547,,
01/10/1993,,3.75,5.80167,3.625,5.5,2.3125,6,2.63,8.98438,4.125,8.375,7.35938,5.64,6.09,3.63,13.42,10.5,,
01/11/1993,,3.75,5.5,3.8125,5.3125,2,5.8125,3,8.60938,4,8.73438,6.5625,5.26,5.74,3.88,12.48,10.625,,
01/12/1993,,3.75,5.31917,3.8125,5.25,1.85938,5.5781,3.25,8.23438,3.75,7.9375,6.10625,4.9,5.25,4,11.6,10.625,,
01/01/1994,,3.75,5.38833,3.6875,5.3125,2.1875,5.6641,3.75,8.0625,3.75,8,6.1875,4.86,5.02,4,10.63,10.1095,,
01/02/1994,,3.75,5.5,4.3125,5.25781,2.4375,5.875,3.75,8.25,4,8.25,6.28516,5.09,5.09,4.44,10.4,9.75,,
01/03/1994,,3.75,5.49479,4.75,5.79688,2.4375,6,3.88,8.0625,4.0625,8.25,6.17813,5.31,5.41,4.88,10.26,9.875,,
01/04/1994,,3.75,5.3225,5.3125,5.875,2.625,5.793,4.38,7.9375,4,8.0625,5.79297,5.27,5.94,5.25,9.28,10.5,,
01/05/1994,,3.75,5.15208,5.5625,6.0625,2.4375,5.6914,4.31,7.90625,4.26563,8.10938,5.5625,5.15,6.28,5.63,8.33,11,,
01/06/1994,,3.75,5.20125,5.8125,6.1875,2.48438,6.043,4.25,8.3125,4.64063,9.125,6.05719,5.24,6.93,5.88,8.33,12.1875,,
01/07/1994,,3.75,5.14833,5.8125,6.625,2.5,5.9883,4.06,8.4375,4.625,9.375,6.0625,5.21,6.79,6,8.57,11.9845,,
01/08/1994,,3.75,5.375,5.8125,6.9375,2.75,6.4023,4.5,8.8125,4.76563,10.375,6.375,5.41,7.33,6,8.52,11.75,,
01/09/1994,,3.75,5.70583,6.3125,7.5,2.6875,6.418,4.25,9.125,4.75,9.9375,6.53484,5.75,7.01,6.25,9.57,10.75,,
01/10/1994,,3.75,5.66083,6.5,7.42188,2.84375,6.3281,4.06,9.10938,4.625,10.0938,6.1875,5.75,6.7,6.38,11.09,10.625,,
01/11/1994,,3.75,5.64542,7.25,7.4375,2.75,6.25,4.94,9.125,4.5625,10,6.07031,5.78,6.75,6.88,11.83,10.7035,,
01/12/1994,,3.75,5.89042,7.75,8,2.625,7.125,4.94,10.1563,4.79688,10.625,6.24554,5.94,7.22,7.56,12.76,11.1405,,
01/01/1995,,3.75,5.75,7.25,7.8125,2.5,6.75,4,10.25,4.5625,10.25,6.375,5.83,7.07,7.75,10.93,11.3438,,
